"date_sk","full_date","year_num","quarter_num","month_num","month_name","day_num","day_name","day_of_week_num","is_weekend","year_month_label"
20190508,"2019-05-08",2019,2,5,May,8,Wednesday,3,0,"2019-May"
20190509,"2019-05-09",2019,2,5,May,9,Thursday,4,0,"2019-May"
20190510,"2019-05-10",2019,2,5,May,10,Friday,5,0,"2019-May"
20190511,"2019-05-11",2019,2,5,May,11,Saturday,6,1,"2019-May"
20190512,"2019-05-12",2019,2,5,May,12,Sunday,7,1,"2019-May"
20190513,"2019-05-13",2019,2,5,May,13,Monday,1,0,"2019-May"
20190514,"2019-05-14",2019,2,5,May,14,Tuesday,2,0,"2019-May"
20190515,"2019-05-15",2019,2,5,May,15,Wednesday,3,0,"2019-May"
20190516,"2019-05-16",2019,2,5,May,16,Thursday,4,0,"2019-May"
20190517,"2019-05-17",2019,2,5,May,17,Friday,5,0,"2019-May"
20190518,"2019-05-18",2019,2,5,May,18,Saturday,6,1,"2019-May"
20190519,"2019-05-19",2019,2,5,May,19,Sunday,7,1,"2019-May"
20190520,"2019-05-20",2019,2,5,May,20,Monday,1,0,"2019-May"
20190521,"2019-05-21",2019,2,5,May,21,Tuesday,2,0,"2019-May"
20190522,"2019-05-22",2019,2,5,May,22,Wednesday,3,0,"2019-May"
20190523,"2019-05-23",2019,2,5,May,23,Thursday,4,0,"2019-May"
20190524,"2019-05-24",2019,2,5,May,24,Friday,5,0,"2019-May"
20190525,"2019-05-25",2019,2,5,May,25,Saturday,6,1,"2019-May"
20190526,"2019-05-26",2019,2,5,May,26,Sunday,7,1,"2019-May"
20190527,"2019-05-27",2019,2,5,May,27,Monday,1,0,"2019-May"
20190528,"2019-05-28",2019,2,5,May,28,Tuesday,2,0,"2019-May"
20190529,"2019-05-29",2019,2,5,May,29,Wednesday,3,0,"2019-May"
20190530,"2019-05-30",2019,2,5,May,30,Thursday,4,0,"2019-May"
20190531,"2019-05-31",2019,2,5,May,31,Friday,5,0,"2019-May"
20190601,"2019-06-01",2019,2,6,Jun,1,Saturday,6,1,"2019-Jun"
20190602,"2019-06-02",2019,2,6,Jun,2,Sunday,7,1,"2019-Jun"
20190603,"2019-06-03",2019,2,6,Jun,3,Monday,1,0,"2019-Jun"
20190604,"2019-06-04",2019,2,6,Jun,4,Tuesday,2,0,"2019-Jun"
20190605,"2019-06-05",2019,2,6,Jun,5,Wednesday,3,0,"2019-Jun"
20190606,"2019-06-06",2019,2,6,Jun,6,Thursday,4,0,"2019-Jun"
20190607,"2019-06-07",2019,2,6,Jun,7,Friday,5,0,"2019-Jun"
20190608,"2019-06-08",2019,2,6,Jun,8,Saturday,6,1,"2019-Jun"
20190609,"2019-06-09",2019,2,6,Jun,9,Sunday,7,1,"2019-Jun"
20190610,"2019-06-10",2019,2,6,Jun,10,Monday,1,0,"2019-Jun"
20190611,"2019-06-11",2019,2,6,Jun,11,Tuesday,2,0,"2019-Jun"
20190612,"2019-06-12",2019,2,6,Jun,12,Wednesday,3,0,"2019-Jun"
20190613,"2019-06-13",2019,2,6,Jun,13,Thursday,4,0,"2019-Jun"
20190614,"2019-06-14",2019,2,6,Jun,14,Friday,5,0,"2019-Jun"
20190615,"2019-06-15",2019,2,6,Jun,15,Saturday,6,1,"2019-Jun"
20190616,"2019-06-16",2019,2,6,Jun,16,Sunday,7,1,"2019-Jun"
20190617,"2019-06-17",2019,2,6,Jun,17,Monday,1,0,"2019-Jun"
20190618,"2019-06-18",2019,2,6,Jun,18,Tuesday,2,0,"2019-Jun"
20190619,"2019-06-19",2019,2,6,Jun,19,Wednesday,3,0,"2019-Jun"
20190620,"2019-06-20",2019,2,6,Jun,20,Thursday,4,0,"2019-Jun"
20190621,"2019-06-21",2019,2,6,Jun,21,Friday,5,0,"2019-Jun"
20190622,"2019-06-22",2019,2,6,Jun,22,Saturday,6,1,"2019-Jun"
20190623,"2019-06-23",2019,2,6,Jun,23,Sunday,7,1,"2019-Jun"
20190624,"2019-06-24",2019,2,6,Jun,24,Monday,1,0,"2019-Jun"
20190625,"2019-06-25",2019,2,6,Jun,25,Tuesday,2,0,"2019-Jun"
20190626,"2019-06-26",2019,2,6,Jun,26,Wednesday,3,0,"2019-Jun"
20190627,"2019-06-27",2019,2,6,Jun,27,Thursday,4,0,"2019-Jun"
20190628,"2019-06-28",2019,2,6,Jun,28,Friday,5,0,"2019-Jun"
20190629,"2019-06-29",2019,2,6,Jun,29,Saturday,6,1,"2019-Jun"
20190630,"2019-06-30",2019,2,6,Jun,30,Sunday,7,1,"2019-Jun"
20190701,"2019-07-01",2019,3,7,Jul,1,Monday,1,0,"2019-Jul"
20190702,"2019-07-02",2019,3,7,Jul,2,Tuesday,2,0,"2019-Jul"
20190703,"2019-07-03",2019,3,7,Jul,3,Wednesday,3,0,"2019-Jul"
20190704,"2019-07-04",2019,3,7,Jul,4,Thursday,4,0,"2019-Jul"
20190705,"2019-07-05",2019,3,7,Jul,5,Friday,5,0,"2019-Jul"
20190706,"2019-07-06",2019,3,7,Jul,6,Saturday,6,1,"2019-Jul"
20190707,"2019-07-07",2019,3,7,Jul,7,Sunday,7,1,"2019-Jul"
20190708,"2019-07-08",2019,3,7,Jul,8,Monday,1,0,"2019-Jul"
20190709,"2019-07-09",2019,3,7,Jul,9,Tuesday,2,0,"2019-Jul"
20190710,"2019-07-10",2019,3,7,Jul,10,Wednesday,3,0,"2019-Jul"
20190711,"2019-07-11",2019,3,7,Jul,11,Thursday,4,0,"2019-Jul"
20190712,"2019-07-12",2019,3,7,Jul,12,Friday,5,0,"2019-Jul"
20190713,"2019-07-13",2019,3,7,Jul,13,Saturday,6,1,"2019-Jul"
20190714,"2019-07-14",2019,3,7,Jul,14,Sunday,7,1,"2019-Jul"
20190715,"2019-07-15",2019,3,7,Jul,15,Monday,1,0,"2019-Jul"
20190716,"2019-07-16",2019,3,7,Jul,16,Tuesday,2,0,"2019-Jul"
20190717,"2019-07-17",2019,3,7,Jul,17,Wednesday,3,0,"2019-Jul"
20190718,"2019-07-18",2019,3,7,Jul,18,Thursday,4,0,"2019-Jul"
20190719,"2019-07-19",2019,3,7,Jul,19,Friday,5,0,"2019-Jul"
20190720,"2019-07-20",2019,3,7,Jul,20,Saturday,6,1,"2019-Jul"
20190721,"2019-07-21",2019,3,7,Jul,21,Sunday,7,1,"2019-Jul"
20190722,"2019-07-22",2019,3,7,Jul,22,Monday,1,0,"2019-Jul"
20190723,"2019-07-23",2019,3,7,Jul,23,Tuesday,2,0,"2019-Jul"
20190724,"2019-07-24",2019,3,7,Jul,24,Wednesday,3,0,"2019-Jul"
20190725,"2019-07-25",2019,3,7,Jul,25,Thursday,4,0,"2019-Jul"
20190726,"2019-07-26",2019,3,7,Jul,26,Friday,5,0,"2019-Jul"
20190727,"2019-07-27",2019,3,7,Jul,27,Saturday,6,1,"2019-Jul"
20190728,"2019-07-28",2019,3,7,Jul,28,Sunday,7,1,"2019-Jul"
20190729,"2019-07-29",2019,3,7,Jul,29,Monday,1,0,"2019-Jul"
20190730,"2019-07-30",2019,3,7,Jul,30,Tuesday,2,0,"2019-Jul"
20190731,"2019-07-31",2019,3,7,Jul,31,Wednesday,3,0,"2019-Jul"
20190801,"2019-08-01",2019,3,8,Aug,1,Thursday,4,0,"2019-Aug"
20190802,"2019-08-02",2019,3,8,Aug,2,Friday,5,0,"2019-Aug"
20190803,"2019-08-03",2019,3,8,Aug,3,Saturday,6,1,"2019-Aug"
20190804,"2019-08-04",2019,3,8,Aug,4,Sunday,7,1,"2019-Aug"
20190805,"2019-08-05",2019,3,8,Aug,5,Monday,1,0,"2019-Aug"
20190806,"2019-08-06",2019,3,8,Aug,6,Tuesday,2,0,"2019-Aug"
20190807,"2019-08-07",2019,3,8,Aug,7,Wednesday,3,0,"2019-Aug"
20190808,"2019-08-08",2019,3,8,Aug,8,Thursday,4,0,"2019-Aug"
20190809,"2019-08-09",2019,3,8,Aug,9,Friday,5,0,"2019-Aug"
20190810,"2019-08-10",2019,3,8,Aug,10,Saturday,6,1,"2019-Aug"
20190811,"2019-08-11",2019,3,8,Aug,11,Sunday,7,1,"2019-Aug"
20190812,"2019-08-12",2019,3,8,Aug,12,Monday,1,0,"2019-Aug"
20190813,"2019-08-13",2019,3,8,Aug,13,Tuesday,2,0,"2019-Aug"
20190814,"2019-08-14",2019,3,8,Aug,14,Wednesday,3,0,"2019-Aug"
20190815,"2019-08-15",2019,3,8,Aug,15,Thursday,4,0,"2019-Aug"
20190816,"2019-08-16",2019,3,8,Aug,16,Friday,5,0,"2019-Aug"
20190817,"2019-08-17",2019,3,8,Aug,17,Saturday,6,1,"2019-Aug"
20190818,"2019-08-18",2019,3,8,Aug,18,Sunday,7,1,"2019-Aug"
20190819,"2019-08-19",2019,3,8,Aug,19,Monday,1,0,"2019-Aug"
20190820,"2019-08-20",2019,3,8,Aug,20,Tuesday,2,0,"2019-Aug"
20190821,"2019-08-21",2019,3,8,Aug,21,Wednesday,3,0,"2019-Aug"
20190822,"2019-08-22",2019,3,8,Aug,22,Thursday,4,0,"2019-Aug"
20190823,"2019-08-23",2019,3,8,Aug,23,Friday,5,0,"2019-Aug"
20190824,"2019-08-24",2019,3,8,Aug,24,Saturday,6,1,"2019-Aug"
20190825,"2019-08-25",2019,3,8,Aug,25,Sunday,7,1,"2019-Aug"
20190826,"2019-08-26",2019,3,8,Aug,26,Monday,1,0,"2019-Aug"
20190827,"2019-08-27",2019,3,8,Aug,27,Tuesday,2,0,"2019-Aug"
20190828,"2019-08-28",2019,3,8,Aug,28,Wednesday,3,0,"2019-Aug"
20190829,"2019-08-29",2019,3,8,Aug,29,Thursday,4,0,"2019-Aug"
20190830,"2019-08-30",2019,3,8,Aug,30,Friday,5,0,"2019-Aug"
20190831,"2019-08-31",2019,3,8,Aug,31,Saturday,6,1,"2019-Aug"
20190901,"2019-09-01",2019,3,9,Sep,1,Sunday,7,1,"2019-Sep"
20190902,"2019-09-02",2019,3,9,Sep,2,Monday,1,0,"2019-Sep"
20190903,"2019-09-03",2019,3,9,Sep,3,Tuesday,2,0,"2019-Sep"
20190904,"2019-09-04",2019,3,9,Sep,4,Wednesday,3,0,"2019-Sep"
20190905,"2019-09-05",2019,3,9,Sep,5,Thursday,4,0,"2019-Sep"
20190906,"2019-09-06",2019,3,9,Sep,6,Friday,5,0,"2019-Sep"
20190907,"2019-09-07",2019,3,9,Sep,7,Saturday,6,1,"2019-Sep"
20190908,"2019-09-08",2019,3,9,Sep,8,Sunday,7,1,"2019-Sep"
20190909,"2019-09-09",2019,3,9,Sep,9,Monday,1,0,"2019-Sep"
20190910,"2019-09-10",2019,3,9,Sep,10,Tuesday,2,0,"2019-Sep"
20190911,"2019-09-11",2019,3,9,Sep,11,Wednesday,3,0,"2019-Sep"
20190912,"2019-09-12",2019,3,9,Sep,12,Thursday,4,0,"2019-Sep"
20190913,"2019-09-13",2019,3,9,Sep,13,Friday,5,0,"2019-Sep"
20190914,"2019-09-14",2019,3,9,Sep,14,Saturday,6,1,"2019-Sep"
20190915,"2019-09-15",2019,3,9,Sep,15,Sunday,7,1,"2019-Sep"
20190916,"2019-09-16",2019,3,9,Sep,16,Monday,1,0,"2019-Sep"
20190917,"2019-09-17",2019,3,9,Sep,17,Tuesday,2,0,"2019-Sep"
20190918,"2019-09-18",2019,3,9,Sep,18,Wednesday,3,0,"2019-Sep"
20190919,"2019-09-19",2019,3,9,Sep,19,Thursday,4,0,"2019-Sep"
20190920,"2019-09-20",2019,3,9,Sep,20,Friday,5,0,"2019-Sep"
20190921,"2019-09-21",2019,3,9,Sep,21,Saturday,6,1,"2019-Sep"
20190922,"2019-09-22",2019,3,9,Sep,22,Sunday,7,1,"2019-Sep"
20190923,"2019-09-23",2019,3,9,Sep,23,Monday,1,0,"2019-Sep"
20190924,"2019-09-24",2019,3,9,Sep,24,Tuesday,2,0,"2019-Sep"
20190925,"2019-09-25",2019,3,9,Sep,25,Wednesday,3,0,"2019-Sep"
20190926,"2019-09-26",2019,3,9,Sep,26,Thursday,4,0,"2019-Sep"
20190927,"2019-09-27",2019,3,9,Sep,27,Friday,5,0,"2019-Sep"
20190928,"2019-09-28",2019,3,9,Sep,28,Saturday,6,1,"2019-Sep"
20190929,"2019-09-29",2019,3,9,Sep,29,Sunday,7,1,"2019-Sep"
20190930,"2019-09-30",2019,3,9,Sep,30,Monday,1,0,"2019-Sep"
20191001,"2019-10-01",2019,4,10,Oct,1,Tuesday,2,0,"2019-Oct"
20191002,"2019-10-02",2019,4,10,Oct,2,Wednesday,3,0,"2019-Oct"
20191003,"2019-10-03",2019,4,10,Oct,3,Thursday,4,0,"2019-Oct"
20191004,"2019-10-04",2019,4,10,Oct,4,Friday,5,0,"2019-Oct"
20191005,"2019-10-05",2019,4,10,Oct,5,Saturday,6,1,"2019-Oct"
20191006,"2019-10-06",2019,4,10,Oct,6,Sunday,7,1,"2019-Oct"
20191007,"2019-10-07",2019,4,10,Oct,7,Monday,1,0,"2019-Oct"
20191008,"2019-10-08",2019,4,10,Oct,8,Tuesday,2,0,"2019-Oct"
20191009,"2019-10-09",2019,4,10,Oct,9,Wednesday,3,0,"2019-Oct"
20191010,"2019-10-10",2019,4,10,Oct,10,Thursday,4,0,"2019-Oct"
20191011,"2019-10-11",2019,4,10,Oct,11,Friday,5,0,"2019-Oct"
20191012,"2019-10-12",2019,4,10,Oct,12,Saturday,6,1,"2019-Oct"
20191013,"2019-10-13",2019,4,10,Oct,13,Sunday,7,1,"2019-Oct"
20191014,"2019-10-14",2019,4,10,Oct,14,Monday,1,0,"2019-Oct"
20191015,"2019-10-15",2019,4,10,Oct,15,Tuesday,2,0,"2019-Oct"
20191016,"2019-10-16",2019,4,10,Oct,16,Wednesday,3,0,"2019-Oct"
20191017,"2019-10-17",2019,4,10,Oct,17,Thursday,4,0,"2019-Oct"
20191018,"2019-10-18",2019,4,10,Oct,18,Friday,5,0,"2019-Oct"
20191019,"2019-10-19",2019,4,10,Oct,19,Saturday,6,1,"2019-Oct"
20191020,"2019-10-20",2019,4,10,Oct,20,Sunday,7,1,"2019-Oct"
20191021,"2019-10-21",2019,4,10,Oct,21,Monday,1,0,"2019-Oct"
20191022,"2019-10-22",2019,4,10,Oct,22,Tuesday,2,0,"2019-Oct"
20191023,"2019-10-23",2019,4,10,Oct,23,Wednesday,3,0,"2019-Oct"
20191024,"2019-10-24",2019,4,10,Oct,24,Thursday,4,0,"2019-Oct"
20191025,"2019-10-25",2019,4,10,Oct,25,Friday,5,0,"2019-Oct"
20191026,"2019-10-26",2019,4,10,Oct,26,Saturday,6,1,"2019-Oct"
20191027,"2019-10-27",2019,4,10,Oct,27,Sunday,7,1,"2019-Oct"
20191028,"2019-10-28",2019,4,10,Oct,28,Monday,1,0,"2019-Oct"
20191029,"2019-10-29",2019,4,10,Oct,29,Tuesday,2,0,"2019-Oct"
20191030,"2019-10-30",2019,4,10,Oct,30,Wednesday,3,0,"2019-Oct"
20191031,"2019-10-31",2019,4,10,Oct,31,Thursday,4,0,"2019-Oct"
20191101,"2019-11-01",2019,4,11,Nov,1,Friday,5,0,"2019-Nov"
20191102,"2019-11-02",2019,4,11,Nov,2,Saturday,6,1,"2019-Nov"
20191103,"2019-11-03",2019,4,11,Nov,3,Sunday,7,1,"2019-Nov"
20191104,"2019-11-04",2019,4,11,Nov,4,Monday,1,0,"2019-Nov"
20191105,"2019-11-05",2019,4,11,Nov,5,Tuesday,2,0,"2019-Nov"
20191106,"2019-11-06",2019,4,11,Nov,6,Wednesday,3,0,"2019-Nov"
20191107,"2019-11-07",2019,4,11,Nov,7,Thursday,4,0,"2019-Nov"
20191108,"2019-11-08",2019,4,11,Nov,8,Friday,5,0,"2019-Nov"
20191109,"2019-11-09",2019,4,11,Nov,9,Saturday,6,1,"2019-Nov"
20191110,"2019-11-10",2019,4,11,Nov,10,Sunday,7,1,"2019-Nov"
20191111,"2019-11-11",2019,4,11,Nov,11,Monday,1,0,"2019-Nov"
20191112,"2019-11-12",2019,4,11,Nov,12,Tuesday,2,0,"2019-Nov"
20191113,"2019-11-13",2019,4,11,Nov,13,Wednesday,3,0,"2019-Nov"
20191114,"2019-11-14",2019,4,11,Nov,14,Thursday,4,0,"2019-Nov"
20191115,"2019-11-15",2019,4,11,Nov,15,Friday,5,0,"2019-Nov"
20191116,"2019-11-16",2019,4,11,Nov,16,Saturday,6,1,"2019-Nov"
20191117,"2019-11-17",2019,4,11,Nov,17,Sunday,7,1,"2019-Nov"
20191118,"2019-11-18",2019,4,11,Nov,18,Monday,1,0,"2019-Nov"
20191119,"2019-11-19",2019,4,11,Nov,19,Tuesday,2,0,"2019-Nov"
20191120,"2019-11-20",2019,4,11,Nov,20,Wednesday,3,0,"2019-Nov"
20191121,"2019-11-21",2019,4,11,Nov,21,Thursday,4,0,"2019-Nov"
20191122,"2019-11-22",2019,4,11,Nov,22,Friday,5,0,"2019-Nov"
20191123,"2019-11-23",2019,4,11,Nov,23,Saturday,6,1,"2019-Nov"
20191124,"2019-11-24",2019,4,11,Nov,24,Sunday,7,1,"2019-Nov"
20191125,"2019-11-25",2019,4,11,Nov,25,Monday,1,0,"2019-Nov"
20191126,"2019-11-26",2019,4,11,Nov,26,Tuesday,2,0,"2019-Nov"
20191127,"2019-11-27",2019,4,11,Nov,27,Wednesday,3,0,"2019-Nov"
20191128,"2019-11-28",2019,4,11,Nov,28,Thursday,4,0,"2019-Nov"
20191129,"2019-11-29",2019,4,11,Nov,29,Friday,5,0,"2019-Nov"
20191130,"2019-11-30",2019,4,11,Nov,30,Saturday,6,1,"2019-Nov"
20191201,"2019-12-01",2019,4,12,Dec,1,Sunday,7,1,"2019-Dec"
20191202,"2019-12-02",2019,4,12,Dec,2,Monday,1,0,"2019-Dec"
20191203,"2019-12-03",2019,4,12,Dec,3,Tuesday,2,0,"2019-Dec"
20191204,"2019-12-04",2019,4,12,Dec,4,Wednesday,3,0,"2019-Dec"
20191205,"2019-12-05",2019,4,12,Dec,5,Thursday,4,0,"2019-Dec"
20191206,"2019-12-06",2019,4,12,Dec,6,Friday,5,0,"2019-Dec"
20191207,"2019-12-07",2019,4,12,Dec,7,Saturday,6,1,"2019-Dec"
20191208,"2019-12-08",2019,4,12,Dec,8,Sunday,7,1,"2019-Dec"
20191209,"2019-12-09",2019,4,12,Dec,9,Monday,1,0,"2019-Dec"
20191210,"2019-12-10",2019,4,12,Dec,10,Tuesday,2,0,"2019-Dec"
20191211,"2019-12-11",2019,4,12,Dec,11,Wednesday,3,0,"2019-Dec"
20191212,"2019-12-12",2019,4,12,Dec,12,Thursday,4,0,"2019-Dec"
20191213,"2019-12-13",2019,4,12,Dec,13,Friday,5,0,"2019-Dec"
20191214,"2019-12-14",2019,4,12,Dec,14,Saturday,6,1,"2019-Dec"
20191215,"2019-12-15",2019,4,12,Dec,15,Sunday,7,1,"2019-Dec"
20191216,"2019-12-16",2019,4,12,Dec,16,Monday,1,0,"2019-Dec"
20191217,"2019-12-17",2019,4,12,Dec,17,Tuesday,2,0,"2019-Dec"
20191218,"2019-12-18",2019,4,12,Dec,18,Wednesday,3,0,"2019-Dec"
20191219,"2019-12-19",2019,4,12,Dec,19,Thursday,4,0,"2019-Dec"
20191220,"2019-12-20",2019,4,12,Dec,20,Friday,5,0,"2019-Dec"
20191221,"2019-12-21",2019,4,12,Dec,21,Saturday,6,1,"2019-Dec"
20191222,"2019-12-22",2019,4,12,Dec,22,Sunday,7,1,"2019-Dec"
20191223,"2019-12-23",2019,4,12,Dec,23,Monday,1,0,"2019-Dec"
20191224,"2019-12-24",2019,4,12,Dec,24,Tuesday,2,0,"2019-Dec"
20191225,"2019-12-25",2019,4,12,Dec,25,Wednesday,3,0,"2019-Dec"
20191226,"2019-12-26",2019,4,12,Dec,26,Thursday,4,0,"2019-Dec"
20191227,"2019-12-27",2019,4,12,Dec,27,Friday,5,0,"2019-Dec"
20191228,"2019-12-28",2019,4,12,Dec,28,Saturday,6,1,"2019-Dec"
20191229,"2019-12-29",2019,4,12,Dec,29,Sunday,7,1,"2019-Dec"
20191230,"2019-12-30",2019,4,12,Dec,30,Monday,1,0,"2019-Dec"
20191231,"2019-12-31",2019,4,12,Dec,31,Tuesday,2,0,"2019-Dec"
20200101,"2020-01-01",2020,1,1,Jan,1,Wednesday,3,0,"2020-Jan"
20200102,"2020-01-02",2020,1,1,Jan,2,Thursday,4,0,"2020-Jan"
20200103,"2020-01-03",2020,1,1,Jan,3,Friday,5,0,"2020-Jan"
20200104,"2020-01-04",2020,1,1,Jan,4,Saturday,6,1,"2020-Jan"
20200105,"2020-01-05",2020,1,1,Jan,5,Sunday,7,1,"2020-Jan"
20200106,"2020-01-06",2020,1,1,Jan,6,Monday,1,0,"2020-Jan"
20200107,"2020-01-07",2020,1,1,Jan,7,Tuesday,2,0,"2020-Jan"
20200108,"2020-01-08",2020,1,1,Jan,8,Wednesday,3,0,"2020-Jan"
20200109,"2020-01-09",2020,1,1,Jan,9,Thursday,4,0,"2020-Jan"
20200110,"2020-01-10",2020,1,1,Jan,10,Friday,5,0,"2020-Jan"
20200111,"2020-01-11",2020,1,1,Jan,11,Saturday,6,1,"2020-Jan"
20200112,"2020-01-12",2020,1,1,Jan,12,Sunday,7,1,"2020-Jan"
20200113,"2020-01-13",2020,1,1,Jan,13,Monday,1,0,"2020-Jan"
20200114,"2020-01-14",2020,1,1,Jan,14,Tuesday,2,0,"2020-Jan"
20200115,"2020-01-15",2020,1,1,Jan,15,Wednesday,3,0,"2020-Jan"
20200116,"2020-01-16",2020,1,1,Jan,16,Thursday,4,0,"2020-Jan"
20200117,"2020-01-17",2020,1,1,Jan,17,Friday,5,0,"2020-Jan"
20200118,"2020-01-18",2020,1,1,Jan,18,Saturday,6,1,"2020-Jan"
20200119,"2020-01-19",2020,1,1,Jan,19,Sunday,7,1,"2020-Jan"
